"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1391","testLinkedInWithWrongPassword","Testng2 Automation Suite","Sat Apr 11 21:06:12 UTC 2026","passed","Sat Apr 11 21:06:13 UTC 2026","com.practice.Interview.tests.LinkedLoginTestWithDataProvider","SeleniumDataProviderTest","com.practice.Interview.tests.LinkedLoginTestWithDataProvider","testLinkedInWithWrongPassword"
"","1321","testLinkedInWithWrongPassword","Testng2 Automation Suite","Sat Apr 11 21:06:14 UTC 2026","passed","Sat Apr 11 21:06:16 UTC 2026","com.practice.Interview.tests.LinkedLoginTestWithDataProvider","SeleniumDataProviderTest","com.practice.Interview.tests.LinkedLoginTestWithDataProvider","testLinkedInWithWrongPassword"
"","4972","testRadioButton","Testng2 Automation Suite","Sat Apr 11 21:06:04 UTC 2026","passed","Sat Apr 11 21:06:09 UTC 2026","com.practice.SeleniumMavenTests.CheckBoxOptionTest","Check Box Test","com.practice.SeleniumMavenTests.CheckBoxOptionTest","testRadioButton"
"","1450","testLinkedInWithWrongPassword","Testng2 Automation Suite","Sat Apr 11 21:06:10 UTC 2026","passed","Sat Apr 11 21:06:11 UTC 2026","com.practice.Interview.tests.LinkedLoginTestWithDataProvider","SeleniumDataProviderTest","com.practice.Interview.tests.LinkedLoginTestWithDataProvider","testLinkedInWithWrongPassword"
